id,name,city,email,account_balance
1,Rahul,Mumbai,kawdeshital2617@gmail.com,45000
2,Anita,Pune,kawdeshital2617@gmail.com,32000
3,Amit,Delhi,kawdeshital2617@gmail.com,58000
4,Sneha,Bangalore,kawdeshital2617@gmail.com,61000
5,Rohit,Hyderabad,kawdeshital2617@gmail.com,29000
6,Priya,Chennai,kawdeshital2617@gmail.com,47000
7,Karan,Kolkata,kawdeshital2617@gmail.com,52000
8,Neha,Ahmedabad,kawdeshital2617@gmail.com,34000
9,Suresh,Jaipur,kawdeshital2617@gmail.com,38000
10,Pooja,Indore,kawdeshital2617@gmail.com,41000
11,Vikas,Nagpur,kawdeshital2617@gmail.com,36000
12,Meena,Bhopal,kawdeshital2617@gmail.com,33000
13,Arjun,Noida,kawdeshital2617@gmail.com,60000
14,Kavita,Gurgaon,kawdeshital2617@gmail.com,54000
15,Sunil,Faridabad,kawdeshital2617@gmail.com,31000
16,Deepak,Surat,kawdeshital2617@gmail.com,48000
17,Anjali,Vadodara,kawdeshital2617@gmail.com,42000
18,Ramesh,Ranchi,kawdeshital2617@gmail.com,27000
19,Manoj,Patna,kawdeshital2617@gmail.com,35000
20,Shital,Nashik,kawdeshital2617@gmail.com,50000
,,,,
...,,,,
